x y z vx vy vz m
-1.018084744428629923e-01 4.157867971766387449e-01 -1.170634248670444633e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03
-1.069478099148465366e-01 6.652417484332652231e-01 2.862070562258105244e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03
3.179604054699746718e-01 2.726476452265218509e-01 -5.790572913999932902e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03
-3.107372386442064371e-01 -2.923312690831099681e-01 6.044471457693983280e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03
-2.023968766548509268e-01 -6.086130809403079711e-01 -1.180034987929474283e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03
1.276600055790780980e-02 -3.951595827284086759e-01 2.709093124366253602e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03
6.932127046967407891e-01 1.848295749358799811e-01 -1.035759400847032774e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03
-2.392202421463519579e-01 2.060237731539431016e-01 -9.026292105589776849e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03
5.234380998581023015e-01 4.353563640510822730e-02 -2.557297713112457460e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03
3.682235165129004173e-01 3.996727494291300031e-01 -3.323218725394653794e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03
2.818829317878435159e-01 2.886204731104785037e-01 3.024236955592638498e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03
-8.307707905132842574e-02 -5.821379302926535937e-01 -2.644306121418100730e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03
-3.543703228524190951e-01 3.307708410114582609e-01 -4.353517649991027194e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03
5.487400164651360379e-01 -3.776874135937740018e-01 -1.358479857965806947e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03
-2.204964586564919504e-01 2.483259136693843627e-01 6.534743473958708193e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03
8.476926082555764908e-02 -1.663168603403384072e-01 6.434155440201235754e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03
5.671762842329914484e-02 1.602579956298313957e-01 -3.035783119052004597e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03
-6.749964941608576074e-01 -1.676473127629063142e-01 -1.279333494800426740e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03
4.898532548088888744e-02 5.324263993920201887e-01 -2.716599133199437688e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03
4.806733080794919899e-01 -1.155973260788053236e-01 3.039406588024820555e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03
-5.829883390074579452e-01 -1.709735121654691326e-01 8.776460270453387280e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03
-1.290164913947463299e-01 -5.845953985176165491e-01 -2.072081864224404810e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03
-1.350861610886130715e-01 -1.616756377393866462e-01 9.425409796191468181e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03
6.215852157233059394e-01 3.231686202988413859e-02 -3.460918303831660436e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03
2.441523950094056650e-01 -7.960811479435835059e-02 -3.502315578490774461e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03
-8.123331174204925786e-02 -4.446707563858159906e-02 -1.144983352850451608e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03
4.862213998927145120e-01 7.220688191827595581e-02 -8.325799043502074559e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03
2.481994770424184316e-01 -5.973346200984677168e-01 -3.295171891242998918e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03
-7.956281363121804617e-02 6.274905384863490587e-01 2.050243853921860371e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03
-2.572893586957709228e-02 -5.630659640840561808e-01 -1.817710511305146437e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03
-2.683198046427439643e-01 -2.220118527413373066e-01 4.357384283814326742e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03
-1.939797383581993162e-01 -6.314541882690998253e-01 2.300278451613197717e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03
-1.034471468321668530e-01 -3.144534281038827150e-01 -9.394537484976032971e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03
1.562867854207070917e-01 -4.857689911997419008e-02 -1.953656261214767320e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03
-6.079054289228325025e-01 -1.527750374525941868e-01 -3.411297744019294309e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03
-5.410115366460970243e-01 2.191764722871407112e-01 -1.478880882787770266e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03
-1.438228151834885227e-01 2.973059988402583231e-01 9.336404699566296095e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03
1.033939653331234776e-01 -3.937518161975355202e-01 3.758725154548617775e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03
1.735377402887735288e-01 2.738529318638760479e-01 -4.445457154545401357e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03
5.362686897448461221e-03 1.327284595023778824e-01 -2.257846879730106837e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03
-2.125838880395584107e-01 -3.940315058598130582e-01 5.094434548986781497e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03
4.352291848940167615e-03 -1.916754970728053453e-01 -2.316587268759389417e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03
6.043688210756391621e-01 1.882838126144205926e-01 -3.151954083544871721e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03
3.932225785176554633e-01 6.132680041988820552e-01 5.942430317237958753e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03
4.188466168986247906e-01 -2.935259244517346433e-01 -3.933535840702508946e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03
6.400432701107410249e-01 -4.438132632486458534e-02 -1.374475332645660741e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03
-6.332881587367702458e-01 2.597482998111971808e-01 8.468988228320438461e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03
-6.104390920873117299e-01 2.964296108030052279e-01 2.398601003273462817e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03
-3.711351269624028060e-01 4.423698335727531683e-01 -2.189182431382682703e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03
-2.708447135376384485e-01 -1.681948014299438354e-01 -5.442877178471696720e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03
4.296576583663405668e-01 -3.309377839962978074e-01 -1.464430680707030641e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03
6.035693961690212772e-01 1.827933561621256642e-01 2.511509923446771930e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03
1.652932935432145645e-01 3.895416255589745913e-01 2.586670524559330220e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03
-4.738064223993290192e-01 1.930697250646023488e-01 -5.393583843932653332e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03
2.125869615673368629e-01 -4.299275578595287417e-01 3.045706266870263912e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03
3.452234918329433189e-01 5.350819138416037513e-01 1.303434439079046436e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03
5.145079444391599255e-01 -6.783759026043857665e-02 -2.568227760408406390e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03
1.781212953925466469e-01 -5.255047134354862148e-01 1.383708302609032610e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03
1.132315106872164301e-01 3.557743825522953762e-01 -5.335403308726906907e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03
-2.984400631544696925e-01 3.950067085760261554e-01 -2.164874429587434479e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03
3.449416808693485659e-01 8.765373820744334910e-02 -2.411590306359407132e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03
3.242360782484096093e-01 1.134444741395442963e-01 2.647846824837882251e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03
-1.865974311157203025e-01 -1.373538157476165977e-01 -2.766287018227445160e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03
-2.724970493850579212e-01 -9.842199405837794013e-02 1.485886038184592861e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03
1.790556777821999679e-01 4.231846372129233202e-01 -2.475428108557705120e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03
5.468009362174578447e-01 4.069302527064879160e-01 1.700039316508348067e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000042e-03
